Date,Model,EECU (hours),Completed,EECU (hours/task),EECU (secs/task)
2026-02-23,PT-JPL,0.5,14,0.03571428571428571,128.57142857142856
2026-02-23,SIMS,0.2,25,0.008,28.8
2026-02-23,SSEBop,1.5,39,0.038461538461538464,138.46153846153848
2026-02-23,eeMETRIC,5.6,48,0.11666666666666665,419.99999999999994
2026-02-22,PT-JPL,0.6,20,0.03,108.0
2026-02-22,SIMS,0.2,25,0.008,28.8
2026-02-22,SSEBop,1.5,47,0.031914893617021274,114.89361702127658
2026-02-22,eeMETRIC,6.0,43,0.13953488372093023,502.3255813953488
2026-02-21,PT-JPL,0.5,33,0.015151515151515152,54.54545454545455
2026-02-21,SIMS,0.2,71,0.0028169014084507044,10.140845070422536
2026-02-21,SSEBop,1.5,91,0.016483516483516484,59.34065934065934
2026-02-21,eeMETRIC,5.3,52,0.10192307692307692,366.9230769230769
2026-02-20,PT-JPL,0.5,135,0.003703703703703704,13.333333333333334
2026-02-20,SIMS,0.2,150,0.0013333333333333335,4.800000000000001
2026-02-20,SSEBop,1.5,133,0.011278195488721804,40.6015037593985
2026-02-20,eeMETRIC,5.7,156,0.03653846153846154,131.53846153846155
2026-02-19,PT-JPL,0.5,36,0.013888888888888888,50.0
2026-02-19,SIMS,0.2,67,0.0029850746268656717,10.746268656716419
2026-02-19,SSEBop,1.5,70,0.02142857142857143,77.14285714285714
2026-02-19,eeMETRIC,5.8,62,0.0935483870967742,336.77419354838713
2026-02-18,PT-JPL,0.5,28,0.017857142857142856,64.28571428571428
2026-02-18,SIMS,0.2,44,0.004545454545454546,16.363636363636367
2026-02-18,SSEBop,1.6,58,0.027586206896551727,99.31034482758622
2026-02-18,eeMETRIC,5.9,60,0.09833333333333334,354.00000000000006
2026-02-17,PT-JPL,0.6,18,0.03333333333333333,120.0
2026-02-17,SIMS,0.2,51,0.00392156862745098,14.117647058823529
2026-02-17,SSEBop,1.6,46,0.034782608695652174,125.21739130434783
2026-02-17,eeMETRIC,6.0,47,0.1276595744680851,459.57446808510633
2026-02-16,PT-JPL,0.5,20,0.025,90.0
2026-02-16,SIMS,0.2,56,0.0035714285714285718,12.857142857142858
2026-02-16,SSEBop,1.5,52,0.028846153846153848,103.84615384615385
2026-02-16,eeMETRIC,6.0,47,0.1276595744680851,459.57446808510633
2026-02-15,PT-JPL,0.6,14,0.04285714285714286,154.28571428571428
2026-02-15,SIMS,0.2,44,0.004545454545454546,16.363636363636367
2026-02-15,SSEBop,1.5,46,0.03260869565217391,117.39130434782608
2026-02-15,eeMETRIC,5.3,46,0.11521739130434783,414.7826086956522
2026-02-14,PT-JPL,0.7,13,0.05384615384615384,193.84615384615384
2026-02-14,SIMS,0.2,46,0.004347826086956522,15.652173913043478
2026-02-14,SSEBop,1.6,41,0.03902439024390244,140.4878048780488
2026-02-14,eeMETRIC,5.7,44,0.12954545454545455,466.3636363636364
2026-02-13,PT-JPL,0.5,21,0.023809523809523808,85.71428571428571
2026-02-13,SIMS,0.2,38,0.005263157894736842,18.94736842105263
2026-02-13,SSEBop,1.4,40,0.034999999999999996,125.99999999999999
2026-02-13,eeMETRIC,5.5,47,0.11702127659574468,421.27659574468083
2026-02-12,PT-JPL,0.5,19,0.02631578947368421,94.73684210526315
2026-02-12,SIMS,0.2,41,0.004878048780487805,17.5609756097561
2026-02-12,SSEBop,1.6,41,0.03902439024390244,140.4878048780488
2026-02-12,eeMETRIC,5.5,37,0.14864864864864866,535.1351351351352
2026-02-11,PT-JPL,0.5,29,0.017241379310344827,62.06896551724138
2026-02-11,SIMS,0.2,33,0.006060606060606061,21.818181818181817
2026-02-11,SSEBop,1.5,46,0.03260869565217391,117.39130434782608
2026-02-11,eeMETRIC,5.7,49,0.1163265306122449,418.7755102040817
2026-02-10,PT-JPL,0.5,20,0.025,90.0
2026-02-10,SIMS,0.2,36,0.005555555555555556,20.0
2026-02-10,SSEBop,1.5,38,0.039473684210526314,142.10526315789474
2026-02-10,eeMETRIC,5.8,37,0.15675675675675677,564.3243243243244
2026-02-09,PT-JPL,0.5,60,0.008333333333333333,30.0
2026-02-09,SIMS,0.2,92,0.002173913043478261,7.826086956521739
2026-02-09,SSEBop,1.4,77,0.01818181818181818,65.45454545454545
2026-02-09,eeMETRIC,5.8,76,0.07631578947368421,274.7368421052632
2026-02-08,PT-JPL,0.6,20,0.03,108.0
2026-02-08,SIMS,0.2,39,0.005128205128205128,18.46153846153846
2026-02-08,SSEBop,1.4,40,0.034999999999999996,125.99999999999999
2026-02-08,eeMETRIC,5.8,35,0.1657142857142857,596.5714285714286
2026-02-07,PT-JPL,0.5,59,0.00847457627118644,30.508474576271187
2026-02-07,SIMS,0.2,112,0.0017857142857142859,6.428571428571429
2026-02-07,SSEBop,1.5,81,0.018518518518518517,66.66666666666666
2026-02-07,eeMETRIC,5.8,75,0.07733333333333334,278.40000000000003
2026-02-06,PT-JPL,0.5,37,0.013513513513513514,48.64864864864865
2026-02-06,SIMS,0.2,54,0.003703703703703704,13.333333333333334
2026-02-06,SSEBop,1.5,53,0.02830188679245283,101.88679245283019
2026-02-06,eeMETRIC,6.1,58,0.10517241379310344,378.6206896551724
2026-02-05,PT-JPL,0.6,11,0.05454545454545454,196.36363636363635
2026-02-05,SIMS,0.2,35,0.005714285714285714,20.571428571428573
2026-02-05,SSEBop,1.6,35,0.045714285714285714,164.57142857142858
2026-02-05,eeMETRIC,5.7,24,0.23750000000000002,855.0000000000001
2026-02-04,PT-JPL,0.5,11,0.045454545454545456,163.63636363636365
2026-02-04,SIMS,0.2,46,0.004347826086956522,15.652173913043478
2026-02-04,SSEBop,1.6,31,0.05161290322580645,185.80645161290323
2026-02-04,eeMETRIC,5.8,34,0.17058823529411765,614.1176470588235
2026-02-03,PT-JPL,0.6,10,0.06,216.0
2026-02-03,SIMS,0.2,31,0.0064516129032258064,23.225806451612904
2026-02-03,SSEBop,1.7,27,0.06296296296296296,226.66666666666666
2026-02-03,eeMETRIC,5.9,28,0.21071428571428572,758.5714285714286
2026-02-02,PT-JPL,0.5,134,0.0037313432835820895,13.432835820895523
2026-02-02,SIMS,0.2,174,0.0011494252873563218,4.137931034482759
2026-02-02,SSEBop,1.5,167,0.008982035928143712,32.33532934131736
2026-02-02,eeMETRIC,5.7,146,0.03904109589041096,140.54794520547944
2026-02-01,PT-JPL,0.6,10,0.06,216.0
2026-02-01,SIMS,0.2,43,0.004651162790697674,16.74418604651163
2026-02-01,SSEBop,1.6,45,0.035555555555555556,128.0
2026-02-01,eeMETRIC,5.8,37,0.15675675675675677,564.3243243243244
2026-01-31,PT-JPL,0.4,48,0.008333333333333333,30.0
2026-01-31,SIMS,0.2,48,0.004166666666666667,15.0
2026-01-31,SSEBop,1.3,51,0.025490196078431372,91.76470588235294
2026-01-31,eeMETRIC,5.3,78,0.06794871794871794,244.61538461538458
2026-01-30,SIMS,0.2,51,0.00392156862745098,14.117647058823529
2026-01-29,PT-JPL,0.4,9,0.044444444444444446,160.0
2026-01-29,SIMS,0.2,48,0.004166666666666667,15.0
2026-01-29,SSEBop,1.4,45,0.03111111111111111,112.0
2026-01-29,eeMETRIC,5.8,9,0.6444444444444444,2319.9999999999995
2026-01-28,DisALEXI,36.0,88,0.4090909090909091,1472.7272727272727
2026-01-28,SIMS,0.2,59,0.0033898305084745766,12.203389830508476
2026-01-28,SSEBop,1.5,46,0.03260869565217391,117.39130434782608
2026-01-28,eeMETRIC,5.4,34,0.15882352941176472,571.764705882353
2026-01-27,PT-JPL,0.5,10,0.05,180.0
2026-01-27,SIMS,0.2,48,0.004166666666666667,15.0
2026-01-27,SSEBop,1.5,48,0.03125,112.5
2026-01-27,eeMETRIC,5.7,53,0.10754716981132076,387.1698113207547
2026-01-26,PT-JPL,0.6,20,0.03,108.0
2026-01-26,SIMS,0.2,39,0.005128205128205128,18.46153846153846
2026-01-26,SSEBop,1.4,47,0.02978723404255319,107.23404255319149
2026-01-26,eeMETRIC,5.3,57,0.09298245614035087,334.7368421052631
2026-01-25,PT-JPL,0.5,25,0.02,72.0
2026-01-25,SIMS,0.2,33,0.006060606060606061,21.818181818181817
2026-01-25,SSEBop,1.5,45,0.03333333333333333,120.0
2026-01-25,eeMETRIC,5.3,55,0.09636363636363636,346.9090909090909
2026-01-24,PT-JPL,0.5,105,0.004761904761904762,17.142857142857146
2026-01-24,SIMS,0.2,196,0.0010204081632653062,3.6734693877551026
2026-01-24,SSEBop,1.4,163,0.008588957055214723,30.920245398773
2026-01-24,eeMETRIC,5.3,119,0.04453781512605042,160.3361344537815
2026-01-23,PT-JPL,0.5,56,0.008928571428571428,32.14285714285714
2026-01-23,SIMS,0.2,26,0.007692307692307693,27.692307692307693
2026-01-23,SSEBop,1.5,58,0.02586206896551724,93.10344827586206
2026-01-23,eeMETRIC,5.5,107,0.0514018691588785,185.0467289719626
2026-01-22,SIMS,0.2,43,0.004651162790697674,16.74418604651163
2026-01-22,SSEBop,1.4,30,0.04666666666666666,167.99999999999997
2026-01-21,PT-JPL,0.5,24,0.020833333333333332,75.0
2026-01-21,SIMS,0.2,55,0.0036363636363636364,13.090909090909092
2026-01-21,SSEBop,1.5,65,0.023076923076923078,83.07692307692308
2026-01-21,eeMETRIC,5.2,53,0.09811320754716982,353.20754716981133
2026-01-20,PT-JPL,0.5,13,0.038461538461538464,138.46153846153848
2026-01-20,SIMS,0.2,51,0.00392156862745098,14.117647058823529
2026-01-20,SSEBop,1.6,51,0.03137254901960784,112.94117647058823
2026-01-20,eeMETRIC,5.3,51,0.10392156862745097,374.1176470588235
2026-01-19,PT-JPL,0.6,17,0.03529411764705882,127.05882352941177
2026-01-19,SIMS,0.2,61,0.003278688524590164,11.80327868852459
2026-01-19,SSEBop,1.7,52,0.032692307692307694,117.6923076923077
2026-01-19,eeMETRIC,5.6,52,0.10769230769230768,387.6923076923077
2026-01-18,PT-JPL,0.5,25,0.02,72.0
2026-01-18,SIMS,0.2,65,0.003076923076923077,11.076923076923077
2026-01-18,SSEBop,1.6,71,0.022535211267605635,81.12676056338029
2026-01-18,eeMETRIC,5.7,70,0.08142857142857143,293.14285714285717
2026-01-17,PT-JPL,0.5,120,0.004166666666666667,15.0
2026-01-17,SIMS,0.2,157,0.0012738853503184715,4.585987261146498
2026-01-17,SSEBop,1.5,167,0.008982035928143712,32.33532934131736
2026-01-17,eeMETRIC,5.7,151,0.03774834437086093,135.89403973509934
2026-01-16,PT-JPL,0.5,22,0.022727272727272728,81.81818181818183
2026-01-16,SIMS,0.2,71,0.0028169014084507044,10.140845070422536
2026-01-16,SSEBop,1.6,62,0.025806451612903226,92.90322580645162
2026-01-16,eeMETRIC,5.8,65,0.08923076923076922,321.2307692307692
2026-01-15,PT-JPL,0.6,13,0.04615384615384615,166.15384615384613
2026-01-15,SIMS,0.2,50,0.004,14.4
2026-01-15,SSEBop,1.5,40,0.0375,135.0
2026-01-15,eeMETRIC,6.0,51,0.11764705882352941,423.52941176470586
2026-01-14,PT-JPL,0.5,6,0.08333333333333333,300.0
2026-01-14,SIMS,0.2,44,0.004545454545454546,16.363636363636367
2026-01-14,SSEBop,1.5,45,0.03333333333333333,120.0
2026-01-14,eeMETRIC,5.4,33,0.16363636363636364,589.0909090909091
