Date,Model,EECU (hours)
2026-01-28,DisALEXI,36.0
2025-12-14,DisALEXI,32.2
2025-12-13,DisALEXI,23.9
2025-12-12,DisALEXI,27.599999999999998
2025-12-06,DisALEXI,42.9
2025-12-05,DisALEXI,38.300000000000004
2025-12-04,DisALEXI,41.8
2025-07-23,DisALEXI,35.7
2025-06-11,DisALEXI,43.0
2025-06-10,DisALEXI,32.5
2025-05-29,DisALEXI,42.900000000000006
2025-05-28,DisALEXI,32.0
2025-05-06,DisALEXI,29.2
2025-03-07,DisALEXI,9.0
2025-03-06,DisALEXI,18.2
2025-03-02,DisALEXI,7.9
2025-03-01,DisALEXI,14.8
2025-02-28,DisALEXI,20.4
2025-02-27,DisALEXI,17.6
2025-01-28,DisALEXI,31.200000000000003
2025-01-21,DisALEXI,48.1
2025-01-20,DisALEXI,30.8
2025-01-10,DisALEXI,11.0
2024-12-29,DisALEXI,14.0
2024-12-23,DisALEXI,28.3
2024-12-13,DisALEXI,31.299999999999997
2024-12-12,DisALEXI,30.5
2024-12-10,DisALEXI,51.699999999999996
2024-12-09,DisALEXI,28.1
2024-10-26,DisALEXI,46.699999999999996
2024-10-25,DisALEXI,34.7
2024-10-24,DisALEXI,35.9
2024-10-15,DisALEXI,41.300000000000004
2024-10-14,DisALEXI,31.4
2024-10-05,DisALEXI,45.2
2024-10-04,DisALEXI,42.0
2024-10-03,DisALEXI,31.4
2024-08-13,DisALEXI,42.8
2024-08-12,DisALEXI,32.8
