Date,Model,EECU (hours),Completed,EECU (hours/task),EECU (secs/task)
2026-02-23,eeMETRIC,5.6,48,0.11666666666666665,419.99999999999994
2026-02-22,eeMETRIC,6.0,43,0.13953488372093023,502.3255813953488
2026-02-21,eeMETRIC,5.3,52,0.10192307692307692,366.9230769230769
2026-02-20,eeMETRIC,5.7,156,0.03653846153846154,131.53846153846155
2026-02-19,eeMETRIC,5.8,62,0.0935483870967742,336.77419354838713
2026-02-18,eeMETRIC,5.9,60,0.09833333333333334,354.00000000000006
2026-02-17,eeMETRIC,6.0,47,0.1276595744680851,459.57446808510633
2026-02-16,eeMETRIC,6.0,47,0.1276595744680851,459.57446808510633
2026-02-15,eeMETRIC,5.3,46,0.11521739130434783,414.7826086956522
2026-02-14,eeMETRIC,5.7,44,0.12954545454545455,466.3636363636364
2026-02-13,eeMETRIC,5.5,47,0.11702127659574468,421.27659574468083
2026-02-12,eeMETRIC,5.5,37,0.14864864864864866,535.1351351351352
2026-02-11,eeMETRIC,5.7,49,0.1163265306122449,418.7755102040817
2026-02-10,eeMETRIC,5.8,37,0.15675675675675677,564.3243243243244
2026-02-09,eeMETRIC,5.8,76,0.07631578947368421,274.7368421052632
2026-02-08,eeMETRIC,5.8,35,0.1657142857142857,596.5714285714286
2026-02-07,eeMETRIC,5.8,75,0.07733333333333334,278.40000000000003
2026-02-06,eeMETRIC,6.1,58,0.10517241379310344,378.6206896551724
2026-02-05,eeMETRIC,5.7,24,0.23750000000000002,855.0000000000001
2026-02-04,eeMETRIC,5.8,34,0.17058823529411765,614.1176470588235
2026-02-03,eeMETRIC,5.9,28,0.21071428571428572,758.5714285714286
2026-02-02,eeMETRIC,5.7,146,0.03904109589041096,140.54794520547944
2026-02-01,eeMETRIC,5.8,37,0.15675675675675677,564.3243243243244
2026-01-31,eeMETRIC,5.3,78,0.06794871794871794,244.61538461538458
2026-01-29,eeMETRIC,5.8,9,0.6444444444444444,2319.9999999999995
2026-01-28,eeMETRIC,5.4,34,0.15882352941176472,571.764705882353
2026-01-27,eeMETRIC,5.7,53,0.10754716981132076,387.1698113207547
2026-01-26,eeMETRIC,5.3,57,0.09298245614035087,334.7368421052631
2026-01-25,eeMETRIC,5.3,55,0.09636363636363636,346.9090909090909
2026-01-24,eeMETRIC,5.3,119,0.04453781512605042,160.3361344537815
2026-01-23,eeMETRIC,5.5,107,0.0514018691588785,185.0467289719626
2026-01-21,eeMETRIC,5.2,53,0.09811320754716982,353.20754716981133
2026-01-20,eeMETRIC,5.3,51,0.10392156862745097,374.1176470588235
2026-01-19,eeMETRIC,5.6,52,0.10769230769230768,387.6923076923077
2026-01-18,eeMETRIC,5.7,70,0.08142857142857143,293.14285714285717
2026-01-17,eeMETRIC,5.7,151,0.03774834437086093,135.89403973509934
2026-01-16,eeMETRIC,5.8,65,0.08923076923076922,321.2307692307692
2026-01-15,eeMETRIC,6.0,51,0.11764705882352941,423.52941176470586
2026-01-14,eeMETRIC,5.4,33,0.16363636363636364,589.0909090909091
2026-01-13,eeMETRIC,5.7,42,0.13571428571428573,488.5714285714286
2026-01-12,eeMETRIC,5.8,68,0.08529411764705883,307.05882352941177
2026-01-11,eeMETRIC,5.5,55,0.1,360.0
2026-01-10,eeMETRIC,5.9,57,0.10350877192982456,372.63157894736844
2026-01-09,eeMETRIC,5.7,251,0.022709163346613548,81.75298804780877
2026-01-08,eeMETRIC,5.5,56,0.09821428571428571,353.57142857142856
2026-01-07,eeMETRIC,5.9,89,0.06629213483146068,238.65168539325845
2026-01-06,eeMETRIC,5.9,65,0.09076923076923077,326.7692307692308
2026-01-05,eeMETRIC,5.6,68,0.08235294117647059,296.4705882352941
2026-01-04,eeMETRIC,5.8,55,0.10545454545454545,379.6363636363636
2026-01-03,eeMETRIC,5.9,66,0.0893939393939394,321.81818181818187
2026-01-02,eeMETRIC,5.4,44,0.12272727272727274,441.81818181818187
2026-01-01,eeMETRIC,5.2,51,0.10196078431372549,367.05882352941177
2025-12-31,eeMETRIC,5.9,51,0.11568627450980393,416.47058823529414
2025-12-30,eeMETRIC,6.0,58,0.10344827586206896,372.41379310344826
2025-12-29,eeMETRIC,5.6,36,0.15555555555555556,560.0
2025-12-28,eeMETRIC,6.1,16,0.38125,1372.5
2025-12-27,eeMETRIC,5.8,106,0.05471698113207547,196.9811320754717
2025-12-26,eeMETRIC,5.7,99,0.05757575757575758,207.27272727272728
2025-12-25,eeMETRIC,5.8,32,0.18125,652.5
2025-12-24,eeMETRIC,5.8,33,0.17575757575757575,632.7272727272727
2025-12-23,eeMETRIC,5.8,36,0.1611111111111111,579.9999999999999
2025-12-22,eeMETRIC,5.7,32,0.178125,641.25
2025-12-21,eeMETRIC,5.5,60,0.09166666666666666,330.0
2025-12-20,eeMETRIC,6.0,125,0.048,172.8
2025-12-19,eeMETRIC,5.6,95,0.05894736842105263,212.21052631578948
2025-12-18,eeMETRIC,5.8,98,0.05918367346938775,213.0612244897959
2025-12-17,eeMETRIC,5.4,48,0.1125,405.0
2025-12-16,eeMETRIC,5.6,50,0.11199999999999999,403.19999999999993
2025-12-15,eeMETRIC,5.8,54,0.10740740740740741,386.6666666666667
2025-12-14,eeMETRIC,5.4,56,0.09642857142857143,347.14285714285717
2025-12-13,eeMETRIC,5.5,121,0.045454545454545456,163.63636363636365
2025-12-12,eeMETRIC,5.5,125,0.044,158.39999999999998
2025-12-11,eeMETRIC,5.7,45,0.12666666666666668,456.00000000000006
2025-12-10,eeMETRIC,5.5,41,0.13414634146341464,482.9268292682927
2025-12-09,eeMETRIC,5.6,60,0.09333333333333332,335.99999999999994
2025-12-08,eeMETRIC,5.6,48,0.11666666666666665,419.99999999999994
2025-12-07,eeMETRIC,5.8,77,0.07532467532467532,271.16883116883116
2025-12-06,eeMETRIC,5.9,114,0.05175438596491228,186.31578947368422
2025-12-05,eeMETRIC,6.0,75,0.08,288.0
2025-12-04,eeMETRIC,6.0,129,0.046511627906976744,167.44186046511626
2025-12-03,eeMETRIC,6.1,130,0.04692307692307692,168.9230769230769
2025-12-02,eeMETRIC,5.8,49,0.1183673469387755,426.1224489795918
2025-12-01,eeMETRIC,5.8,105,0.05523809523809524,198.85714285714286
2025-11-30,eeMETRIC,5.6,165,0.033939393939393936,122.18181818181817
2025-11-29,eeMETRIC,5.6,60,0.09333333333333332,335.99999999999994
2025-11-28,eeMETRIC,5.8,104,0.055769230769230765,200.76923076923075
2025-11-27,eeMETRIC,5.6,142,0.039436619718309855,141.9718309859155
2025-11-26,eeMETRIC,5.8,51,0.11372549019607843,409.4117647058823
2025-11-25,eeMETRIC,6.2,45,0.13777777777777778,496.0
2025-11-24,eeMETRIC,5.9,120,0.04916666666666667,177.00000000000003
2025-11-23,eeMETRIC,5.7,127,0.04488188976377953,161.5748031496063
2025-11-22,eeMETRIC,5.8,223,0.02600896860986547,93.6322869955157
2025-11-21,eeMETRIC,5.8,124,0.0467741935483871,168.38709677419357
2025-11-20,eeMETRIC,5.9,134,0.04402985074626866,158.50746268656718
2025-11-19,eeMETRIC,6.0,246,0.024390243902439025,87.8048780487805
2025-11-18,eeMETRIC,6.0,93,0.06451612903225806,232.25806451612902
2025-11-17,eeMETRIC,5.5,38,0.14473684210526316,521.0526315789474
2025-11-16,eeMETRIC,5.8,135,0.04296296296296296,154.66666666666666
2025-11-15,eeMETRIC,5.8,187,0.03101604278074866,111.65775401069519
2025-11-14,eeMETRIC,5.7,67,0.08507462686567165,306.2686567164179
2025-11-13,eeMETRIC,5.9,102,0.05784313725490196,208.23529411764707
2025-11-12,eeMETRIC,6.1,23,0.2652173913043478,954.782608695652
2025-11-11,eeMETRIC,6.3,66,0.09545454545454546,343.6363636363636
2025-11-10,eeMETRIC,6.1,54,0.11296296296296296,406.66666666666663
2025-11-09,eeMETRIC,5.8,57,0.10175438596491228,366.3157894736842
2025-11-08,eeMETRIC,6.1,63,0.09682539682539681,348.57142857142856
2025-11-07,eeMETRIC,6.3,63,0.09999999999999999,359.99999999999994
2025-11-06,eeMETRIC,5.7,73,0.07808219178082192,281.0958904109589
2025-11-05,eeMETRIC,5.6,92,0.0608695652173913,219.1304347826087
2025-11-04,eeMETRIC,6.1,49,0.12448979591836734,448.1632653061224
2025-11-03,eeMETRIC,6.0,44,0.13636363636363635,490.9090909090909
2025-11-02,eeMETRIC,5.8,41,0.14146341463414633,509.26829268292676
2025-11-01,eeMETRIC,5.8,40,0.145,522.0
2025-10-31,eeMETRIC,6.0,42,0.14285714285714285,514.2857142857142
