Date,Model,EECU (hours)
2024-03-25,geeSEBAL,4.0
2024-03-23,geeSEBAL,4.1
2024-03-21,geeSEBAL,3.2
2024-03-20,geeSEBAL,4.2
2024-03-19,geeSEBAL,2.9
2024-03-18,geeSEBAL,4.0
2024-03-17,geeSEBAL,4.3
2024-03-16,geeSEBAL,4.1
2024-03-15,geeSEBAL,4.4
2024-03-14,geeSEBAL,4.5
2024-03-13,geeSEBAL,4.3
2024-03-11,geeSEBAL,3.9
2024-03-09,geeSEBAL,4.2
2024-03-08,geeSEBAL,2.2
2024-03-07,geeSEBAL,4.7
2024-03-06,geeSEBAL,5.0
2024-03-05,geeSEBAL,4.6
2024-03-04,geeSEBAL,4.2
2024-03-03,geeSEBAL,3.7
2024-03-02,geeSEBAL,4.4
2024-03-01,geeSEBAL,4.4
2024-02-29,geeSEBAL,4.4
2024-02-27,geeSEBAL,4.1
2024-02-26,geeSEBAL,3.4
2024-02-25,geeSEBAL,4.1
2024-02-24,geeSEBAL,4.2
2024-02-23,geeSEBAL,4.1
2024-02-22,geeSEBAL,4.4
2024-02-21,geeSEBAL,4.1
2024-02-20,geeSEBAL,4.4
2024-02-19,geeSEBAL,4.6
2024-02-18,geeSEBAL,4.1
2024-02-17,geeSEBAL,4.7
2024-02-16,geeSEBAL,4.1
2024-02-15,geeSEBAL,4.2
2024-02-14,geeSEBAL,4.3
2024-02-13,geeSEBAL,4.7
2024-02-12,geeSEBAL,4.6
2024-02-11,geeSEBAL,4.5
2024-02-10,geeSEBAL,4.3
2024-02-09,geeSEBAL,4.5
2024-02-08,geeSEBAL,4.1
2024-02-07,geeSEBAL,4.3
2024-02-06,geeSEBAL,4.4
2024-02-05,geeSEBAL,4.3
2024-02-01,geeSEBAL,4.3
2024-01-31,geeSEBAL,3.9
2024-01-30,geeSEBAL,3.9
2024-01-29,geeSEBAL,4.3
2024-01-28,geeSEBAL,4.4
2024-01-27,geeSEBAL,4.1
2024-01-26,geeSEBAL,4.5
2024-01-25,geeSEBAL,4.1
2024-01-24,geeSEBAL,4.2
2024-01-23,geeSEBAL,4.1
2024-01-22,geeSEBAL,4.7
2024-01-21,geeSEBAL,4.4
2024-01-20,geeSEBAL,4.0
2024-01-19,geeSEBAL,3.8
2024-01-18,geeSEBAL,4.5
2024-01-17,geeSEBAL,4.5
2024-01-16,geeSEBAL,4.6
2024-01-15,geeSEBAL,4.7
2024-01-14,geeSEBAL,4.2
2024-01-13,geeSEBAL,4.3
2024-01-12,geeSEBAL,4.2
2024-01-11,geeSEBAL,3.9
2024-01-10,geeSEBAL,4.3
2024-01-09,geeSEBAL,4.3
2024-01-08,geeSEBAL,4.5
2024-01-07,geeSEBAL,4.4
2024-01-06,geeSEBAL,4.7
2024-01-05,geeSEBAL,4.4
2024-01-04,geeSEBAL,4.4
2024-01-03,geeSEBAL,4.9
2024-01-02,geeSEBAL,4.6
2024-01-01,geeSEBAL,4.4
2023-12-31,geeSEBAL,4.5
2023-12-30,geeSEBAL,4.3
2023-12-29,geeSEBAL,4.4
2023-12-28,geeSEBAL,4.6
2023-12-27,geeSEBAL,4.4
2023-12-26,geeSEBAL,4.9
2023-12-25,geeSEBAL,4.8
2023-12-24,geeSEBAL,4.8
2023-12-23,geeSEBAL,4.6
2023-12-22,geeSEBAL,4.8
2023-12-21,geeSEBAL,5.1
2023-12-20,geeSEBAL,5.0
2023-12-19,geeSEBAL,4.8
2023-12-18,geeSEBAL,4.4
2023-12-17,geeSEBAL,4.5
2023-12-16,geeSEBAL,4.4
2023-12-15,geeSEBAL,4.9
2023-12-14,geeSEBAL,5.3
2023-12-13,geeSEBAL,5.2
2023-12-12,geeSEBAL,5.0
2023-12-11,geeSEBAL,4.9
2023-12-10,geeSEBAL,4.5
2023-12-09,geeSEBAL,4.2
2023-12-08,geeSEBAL,4.5
2023-12-07,geeSEBAL,4.2
2023-12-06,geeSEBAL,4.6
2023-12-05,geeSEBAL,4.4
2023-12-04,geeSEBAL,4.6
2023-12-03,geeSEBAL,4.8
2023-12-02,geeSEBAL,4.0
2023-12-01,geeSEBAL,4.6
2023-11-30,geeSEBAL,4.6
2023-11-29,geeSEBAL,4.8
2023-11-28,geeSEBAL,5.0
2023-11-27,geeSEBAL,4.8
2023-11-26,geeSEBAL,4.6
2023-11-25,geeSEBAL,4.5
2023-11-24,geeSEBAL,4.8
2023-11-23,geeSEBAL,4.5
2023-11-22,geeSEBAL,4.5
2023-11-21,geeSEBAL,5.0
2023-11-20,geeSEBAL,4.7
2023-11-19,geeSEBAL,4.7
2023-11-18,geeSEBAL,4.7
2023-11-17,geeSEBAL,4.6
2023-11-16,geeSEBAL,5.0
2023-11-15,geeSEBAL,4.8
2023-11-14,geeSEBAL,4.4
