Date,Model,EECU (hours)
2026-02-23,SSEBop,1.5
2026-02-22,SSEBop,1.5
2026-02-21,SSEBop,1.5
2026-02-20,SSEBop,1.5
2026-02-19,SSEBop,1.5
2026-02-18,SSEBop,1.6
2026-02-17,SSEBop,1.6
2026-02-16,SSEBop,1.5
2026-02-15,SSEBop,1.5
2026-02-14,SSEBop,1.6
2026-02-13,SSEBop,1.4
2026-02-12,SSEBop,1.6
2026-02-11,SSEBop,1.5
2026-02-10,SSEBop,1.5
2026-02-09,SSEBop,1.4
2026-02-08,SSEBop,1.4
2026-02-07,SSEBop,1.5
2026-02-06,SSEBop,1.5
2026-02-05,SSEBop,1.6
2026-02-04,SSEBop,1.6
2026-02-03,SSEBop,1.7
2026-02-02,SSEBop,1.5
2026-02-01,SSEBop,1.6
2026-01-31,SSEBop,1.3
2026-01-29,SSEBop,1.4
2026-01-28,SSEBop,1.5
2026-01-27,SSEBop,1.5
2026-01-26,SSEBop,1.4
2026-01-25,SSEBop,1.5
2026-01-24,SSEBop,1.4
2026-01-23,SSEBop,1.5
2026-01-22,SSEBop,1.4
2026-01-21,SSEBop,1.5
2026-01-20,SSEBop,1.6
2026-01-19,SSEBop,1.7
2026-01-18,SSEBop,1.6
2026-01-17,SSEBop,1.5
2026-01-16,SSEBop,1.6
2026-01-15,SSEBop,1.5
2026-01-14,SSEBop,1.5
2026-01-13,SSEBop,1.5
2026-01-12,SSEBop,1.5
2026-01-11,SSEBop,1.5
2026-01-10,SSEBop,1.6
2026-01-09,SSEBop,1.5
2026-01-08,SSEBop,1.6
2026-01-07,SSEBop,1.6
2026-01-06,SSEBop,1.7
2026-01-05,SSEBop,1.5
2026-01-04,SSEBop,1.5
2026-01-03,SSEBop,1.6
2026-01-02,SSEBop,1.5
2026-01-01,SSEBop,1.6
2025-12-31,SSEBop,1.7
2025-12-30,SSEBop,1.7
2025-12-29,SSEBop,1.3
2025-12-28,SSEBop,1.7
2025-12-27,SSEBop,1.6
2025-12-26,SSEBop,1.5
2025-12-25,SSEBop,1.6
2025-12-24,SSEBop,1.4
2025-12-23,SSEBop,1.6
2025-12-22,SSEBop,1.6
2025-12-21,SSEBop,1.6
2025-12-20,SSEBop,1.5
2025-12-19,SSEBop,1.5
2025-12-18,SSEBop,1.5
2025-12-17,SSEBop,1.2
2025-12-16,SSEBop,1.4
2025-12-15,SSEBop,1.6
2025-12-14,SSEBop,1.4
2025-12-13,SSEBop,1.4
2025-12-12,SSEBop,1.3
2025-12-11,SSEBop,1.5
2025-12-10,SSEBop,1.2
2025-12-09,SSEBop,1.4
2025-12-08,SSEBop,1.4
